"year","T_prev_May","T_prev_Jun","T_prev_Jul","T_prev_Aug","T_prev_Sep","T_prev_Oct","T_prev_Nov","T_prev_Dec","T_Jan","T_Feb","T_Mar","T_Apr","P_prev_May","P_prev_Jun","P_prev_Jul","P_prev_Aug","P_prev_Sep","P_prev_Oct","P_prev_Nov","P_prev_Dec","P_Jan","P_Feb","P_Mar","P_Apr","S_prev_May","S_prev_Jun","S_prev_Jul","S_prev_Aug","S_prev_Sep","S_prev_Oct","S_prev_Nov","S_prev_Dec","S_Jan","S_Feb","S_Mar","S_Apr"
2005,71.8,73.4,78.5,75.9,71.6,58.3,51,40,36,39.6,43,57.3,2.98,4.6,6.98,5.09,3.99,1.74,4.5,3.05,3.31,1.63,4.46,4.33,0,0,0,0,0,0,0,0.1,6.4,5.2,0.8,0
2006,61.9,75.7,80.5,80.1,75,60.4,50.2,36.4,43,38.6,47.9,59.5,4.61,2.88,6.07,2.33,0.11,9.41,1.93,3.34,3.25,2.46,0.06,3.1,0,0,0,0,0,0,0,4.8,0,8.8,0,0
2007,65.1,74.5,80.4,80.5,67.8,57.3,50.7,44.2,40.7,30.8,47.7,53.6,2.21,14.02,3.56,1.03,6.31,5.06,5.17,1.56,2.46,2.22,3.19,4.17,0,0,0,0,0,0,0,0,1.3,5.9,1.9,0.4
2008,67.8,76.1,79.2,79.7,72.9,67,49.8,41.8,40,41,49,58.9,1.75,1.39,2.4,3.47,0.6,6.55,1.46,3.28,1.38,4.18,2.81,4.93,0,0,0,0,0,0,0,2.6,1.3,1,0,0
2009,64.7,77.9,80.7,77.9,74,58.9,46.6,40.3,31.6,39.8,45.2,57,10.66,4.8,3.61,1.23,6.42,1.13,2.43,2.97,2.68,0.35,1.97,4.22,0,0,0,0,0,0,0,0,1.9,0.1,5.5,0
2010,65.5,73.7,76.9,79.8,70.2,58.5,52.2,37.8,35.3,34.2,51.2,60.8,8.05,5.86,1.07,2.46,3.31,5.71,4.44,6.79,1.56,2.73,3.55,1.5,0,0,0,0,0,0,0,16.6,7.4,32.1,0,0
2011,69.3,80.6,83.1,80.1,75.5,61.5,50.4,34.6,33.7,41.7,45.6,58.8,2.4,1.88,5.17,2.59,6.02,3.41,2.22,1.78,2.25,2.13,4.39,3.2,0,0,0,0,0,0,0,2.1,7.3,0.5,0.2,0
2012,68.3,78.7,84.5,79.9,71.3,58.4,52.4,45,40.7,44.3,56.7,58.3,1.7,1.69,3.03,8.93,8.84,3.92,1.94,4.9,2.2,2.33,1.03,1.93,0,0,0,0,0,0,0,0,1.7,0.3,0,0
2013,71.4,76.3,84,81,72.2,61,46.6,45.4,40.3,38.3,43.8,58.9,3.29,2.38,2.81,2.78,4.29,5.82,0.6,3.04,2.54,1.67,2.8,2.76,0,0,0,0,0,0,0,0.2,0.9,0.4,1.6,0
2014,66.6,76.5,81.2,77.1,71.3,62.4,46.7,42.3,32.3,37.9,42.9,57.3,2.82,9.97,4.43,1.35,1.22,6.25,2.92,5.53,2.58,4.02,4.26,6.47,0,0,0,0,0,0,0,1.5,6.6,11.2,12.7,0
2015,68.4,77.2,79.4,77.7,73.8,62.9,48,43.7,35.7,30.4,45.3,59.4,4.97,3.31,4.68,3.39,1.11,3.49,2.65,3.51,3.73,1.68,4.04,3.42,0,0,0,0,0,0,0,0,3.6,9.9,4.9,0
2016,73.2,78.1,81.5,79.3,74.9,58.9,53.7,51.2,35,39.9,53.5,56.9,1.93,11.94,5.02,1.16,2.15,3.04,2.1,4.84,2.68,3.79,1.16,2.06,0,0,0,0,0,0,0,0,18.8,3.1,0.3,0
2017,63.9,76.2,82.7,82.7,76,63.1,52.6,41.8,42.2,47.7,47.2,63.8,5.65,3.68,3.14,2.79,2.5,0.9,0.76,2.62,2.76,0.68,3.2,2.62,0,0,0,0,0,0,0,0,1.4,0,2,0
2018,65.5,77.3,81.7,77.4,72.5,64.9,49.8,39.2,35.8,45.3,43.6,54.9,5.56,1.13,9.15,4.58,1.43,2.02,2.01,0.51,0.94,4.79,1.92,3.59,0,0,0,0,0,0,0,1.9,1.2,0.2,4.5,0
2019,72.4,76.2,80.7,81,75.5,62.6,46.5,43.5,37.2,42.2,46.8,62.3,8.73,5.21,9.73,5.19,9.73,3.06,7.57,5.82,3.3,3.52,4,2.25,0,0,0,0,0,0,1.4,0,11.5,3.7,0.3,0
2020,71,76.3,82.1,80.1,76.5,64.1,46.1,42.2,42.4,43.9,53.2,55.3,4.97,4.27,6.5,1.99,0.26,6.66,1.37,3.28,2.8,3.21,2.31,6.3,0,0,0,0,0,0,0,0.4,0.2,0,0,0
2021,63.8,77,83.9,79.6,70.2,61.9,54.3,41.4,38.6,37.8,51.2,58.2,2.49,3.51,6.51,8.74,5.54,4.86,6.14,4.96,1.93,4.65,3.8,2.2,0,0,0,0,0,0,0,0,2.6,2.8,0,0
2022,66.1,76.6,80.9,80.9,73.2,66.3,47.9,47.6,34.7,42.7,50.4,56.9,3.77,5.52,4.24,9.07,4.04,3.27,0.98,0.63,3.68,2.33,2.77,3.81,0,0,0,0,0,0,0,0,12.3,0,0.9,0
2023,67.8,76,81.1,80.4,72.7,58.2,52.6,40.1,45.1,47.1,NA,NA,6.37,2.96,7.62,2.43,2.27,2.78,2.65,3.87,1.65,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA
